;df;sum_sq;mean_sq;F;PR(>F)
authors;1,0;0,6069786144390584;0,6069786144390584;5,061046426288031;0,02448894559204621
isbn13;1,0;0,0026346012140543713;0,0026346012140543713;0,0219675598808477;0,882176119459957
language_code;1,0;1,2280641937722634;1,2280641937722634;10,239718091035694;0,0013783472337115716
num_pages;1,0;30,735450331549345;30,735450331549345;256,27515922384924;4,8229605725363404e-57
ratings_count;1,0;1,5344248629249553;1,5344248629249553;12,794182997848509;0,0003491765046815149
text_reviews_count;1,0;8,109237761194533e-06;8,109237761194533e-06;6,76156092074874e-05;0,9934393196192739
publisher;1,0;0,8105773418687267;0,8105773418687267;6,758672318440726;0,009341652093375981
YEAR_ENCODING;1,0;0,6340418618921819;0,6340418618921819;5,286702402541756;0,02150732735417685
YEAR;1,0;0,81905902731324;0,81905902731324;6,8293934324745775;0,008979051214692712
Residual;11114,0;1332,9180870256205;0,11993144565643517;;
